Week,apple stock: (Worldwide)
8/12/2013,21
15/12/2013,19
22/12/2013,23
29/12/2013,17
5/1/2014,18
12/1/2014,19
19/1/2014,18
26/1/2014,35
2/2/2014,22
9/2/2014,19
16/2/2014,18
23/2/2014,18
2/3/2014,18
9/3/2014,15
16/3/2014,15
23/3/2014,16
30/3/2014,15
6/4/2014,15
13/4/2014,14
20/4/2014,46
27/4/2014,34
4/5/2014,27
11/5/2014,22
18/5/2014,22
25/5/2014,27
1/6/2014,48
8/6/2014,79
15/6/2014,36
22/6/2014,29
29/6/2014,24
6/7/2014,27
13/7/2014,29
20/7/2014,33
27/7/2014,27
3/8/2014,23
10/8/2014,23
17/8/2014,33
24/8/2014,31
31/8/2014,41
7/9/2014,91
14/9/2014,50
21/9/2014,57
28/9/2014,37
5/10/2014,33
12/10/2014,34
19/10/2014,41
26/10/2014,38
2/11/2014,32
9/11/2014,31
16/11/2014,32
23/11/2014,29
30/11/2014,35
7/12/2014,29
14/12/2014,28
21/12/2014,20
28/12/2014,21
4/1/2015,26
11/1/2015,23
18/1/2015,23
25/1/2015,47
1/2/2015,31
8/2/2015,40
15/2/2015,34
22/2/2015,41
1/3/2015,35
8/3/2015,45
15/3/2015,32
22/3/2015,28
29/3/2015,26
5/4/2015,29
12/4/2015,30
19/4/2015,33
26/4/2015,49
3/5/2015,30
10/5/2015,28
17/5/2015,30
24/5/2015,26
31/5/2015,26
7/6/2015,26
14/6/2015,21
21/6/2015,22
28/6/2015,22
5/7/2015,26
12/7/2015,26
19/7/2015,48
26/7/2015,27
2/8/2015,39
9/8/2015,34
16/8/2015,34
23/8/2015,80
30/8/2015,40
6/9/2015,45
13/9/2015,33
20/9/2015,32
27/9/2015,32
4/10/2015,29
11/10/2015,27
18/10/2015,29
25/10/2015,43
1/11/2015,31
8/11/2015,28
15/11/2015,27
22/11/2015,21
29/11/2015,25
6/12/2015,23
13/12/2015,27
20/12/2015,25
27/12/2015,22
3/1/2016,45
10/1/2016,40
17/1/2016,35
24/1/2016,53
31/1/2016,37
7/2/2016,30
14/2/2016,28
21/2/2016,27
28/2/2016,28
6/3/2016,24
13/3/2016,25
20/3/2016,28
27/3/2016,27
3/4/2016,26
10/4/2016,26
17/4/2016,26
24/4/2016,62
1/5/2016,40
8/5/2016,36
15/5/2016,43
22/5/2016,32
29/5/2016,24
5/6/2016,23
12/6/2016,24
19/6/2016,29
26/6/2016,26
3/7/2016,18
10/7/2016,24
17/7/2016,24
24/7/2016,41
31/7/2016,25
7/8/2016,24
14/8/2016,24
21/8/2016,20
28/8/2016,28
4/9/2016,47
11/9/2016,48
18/9/2016,37
25/9/2016,29
2/10/2016,25
9/10/2016,33
16/10/2016,26
23/10/2016,40
30/10/2016,27
6/11/2016,32
13/11/2016,27
20/11/2016,21
27/11/2016,22
4/12/2016,23
11/12/2016,25
18/12/2016,22
25/12/2016,19
1/1/2017,21
8/1/2017,25
15/1/2017,20
22/1/2017,25
29/1/2017,47
5/2/2017,31
12/2/2017,38
19/2/2017,29
26/2/2017,37
5/3/2017,30
12/3/2017,26
19/3/2017,29
26/3/2017,30
2/4/2017,29
9/4/2017,23
16/4/2017,24
23/4/2017,28
30/4/2017,45
7/5/2017,41
14/5/2017,35
21/5/2017,28
28/5/2017,24
4/6/2017,36
11/6/2017,36
18/6/2017,29
25/6/2017,26
2/7/2017,26
9/7/2017,25
16/7/2017,26
23/7/2017,30
30/7/2017,56
6/8/2017,36
13/8/2017,32
20/8/2017,25
27/8/2017,33
3/9/2017,26
10/9/2017,77
17/9/2017,43
24/9/2017,40
1/10/2017,31
8/10/2017,29
15/10/2017,34
22/10/2017,35
29/10/2017,64
5/11/2017,48
12/11/2017,38
19/11/2017,28
26/11/2017,38
3/12/2017,34
10/12/2017,34
17/12/2017,37
24/12/2017,38
31/12/2017,34
7/1/2018,36
14/1/2018,37
21/1/2018,39
28/1/2018,60
4/2/2018,66
11/2/2018,45
18/2/2018,31
25/2/2018,38
4/3/2018,33
11/3/2018,32
18/3/2018,34
25/3/2018,36
1/4/2018,34
8/4/2018,30
15/4/2018,33
22/4/2018,35
29/4/2018,60
6/5/2018,44
13/5/2018,30
20/5/2018,28
27/5/2018,24
3/6/2018,32
10/6/2018,26
17/6/2018,26
24/6/2018,24
1/7/2018,19
8/7/2018,25
15/7/2018,23
22/7/2018,31
29/7/2018,100
5/8/2018,43
12/8/2018,40
19/8/2018,38
26/8/2018,46
2/9/2018,42
9/9/2018,65
16/9/2018,47
23/9/2018,41
30/9/2018,43
7/10/2018,46
14/10/2018,38
21/10/2018,42
28/10/2018,68
4/11/2018,52
11/11/2018,60
18/11/2018,56
25/11/2018,61
