Week,Tencent: (Worldwide)
1/12/2013,58
8/12/2013,56
15/12/2013,58
22/12/2013,64
29/12/2013,64
5/1/2014,57
12/1/2014,59
19/1/2014,60
26/1/2014,53
2/2/2014,54
9/2/2014,57
16/2/2014,65
23/2/2014,67
2/3/2014,71
9/3/2014,77
16/3/2014,68
23/3/2014,64
30/3/2014,67
6/4/2014,63
13/4/2014,66
20/4/2014,68
27/4/2014,67
4/5/2014,67
11/5/2014,66
18/5/2014,70
25/5/2014,57
1/6/2014,25
8/6/2014,24
15/6/2014,26
22/6/2014,20
29/6/2014,19
6/7/2014,20
13/7/2014,23
20/7/2014,21
27/7/2014,22
3/8/2014,20
10/8/2014,22
17/8/2014,22
24/8/2014,21
31/8/2014,21
7/9/2014,21
14/9/2014,23
21/9/2014,24
28/9/2014,21
5/10/2014,23
12/10/2014,18
19/10/2014,17
26/10/2014,19
2/11/2014,18
9/11/2014,21
16/11/2014,19
23/11/2014,18
30/11/2014,18
7/12/2014,19
14/12/2014,18
21/12/2014,19
28/12/2014,18
4/1/2015,18
11/1/2015,17
18/1/2015,20
25/1/2015,18
1/2/2015,16
8/2/2015,16
15/2/2015,15
22/2/2015,14
1/3/2015,17
8/3/2015,16
15/3/2015,18
22/3/2015,17
29/3/2015,17
5/4/2015,16
12/4/2015,19
19/4/2015,20
26/4/2015,18
3/5/2015,19
10/5/2015,19
17/5/2015,18
24/5/2015,17
31/5/2015,18
7/6/2015,19
14/6/2015,17
21/6/2015,17
28/6/2015,17
5/7/2015,19
12/7/2015,20
19/7/2015,18
26/7/2015,19
2/8/2015,20
9/8/2015,22
16/8/2015,22
23/8/2015,23
30/8/2015,22
6/9/2015,22
13/9/2015,20
20/9/2015,22
27/9/2015,20
4/10/2015,19
11/10/2015,18
18/10/2015,17
25/10/2015,18
1/11/2015,20
8/11/2015,19
15/11/2015,19
22/11/2015,18
29/11/2015,21
6/12/2015,23
13/12/2015,31
20/12/2015,25
27/12/2015,18
3/1/2016,11
10/1/2016,11
17/1/2016,11
24/1/2016,11
31/1/2016,11
7/2/2016,9
14/2/2016,11
21/2/2016,10
28/2/2016,10
6/3/2016,11
13/3/2016,13
20/3/2016,14
27/3/2016,12
3/4/2016,13
10/4/2016,11
17/4/2016,13
24/4/2016,12
1/5/2016,13
8/5/2016,12
15/5/2016,13
22/5/2016,14
29/5/2016,14
5/6/2016,14
12/6/2016,14
19/6/2016,19
26/6/2016,11
3/7/2016,11
10/7/2016,11
17/7/2016,11
24/7/2016,10
31/7/2016,11
7/8/2016,10
14/8/2016,13
21/8/2016,11
28/8/2016,10
4/9/2016,12
11/9/2016,10
18/9/2016,11
25/9/2016,10
2/10/2016,10
9/10/2016,11
16/10/2016,11
23/10/2016,11
30/10/2016,11
6/11/2016,13
13/11/2016,14
20/11/2016,12
27/11/2016,13
4/12/2016,20
11/12/2016,19
18/12/2016,20
25/12/2016,24
1/1/2017,21
8/1/2017,22
15/1/2017,21
22/1/2017,17
29/1/2017,16
5/2/2017,18
12/2/2017,20
19/2/2017,20
26/2/2017,21
5/3/2017,21
12/3/2017,21
19/3/2017,24
26/3/2017,28
2/4/2017,22
9/4/2017,23
16/4/2017,27
23/4/2017,26
30/4/2017,25
7/5/2017,28
14/5/2017,29
21/5/2017,26
28/5/2017,25
4/6/2017,27
11/6/2017,26
18/6/2017,25
25/6/2017,24
2/7/2017,31
9/7/2017,26
16/7/2017,28
23/7/2017,29
30/7/2017,29
6/8/2017,31
13/8/2017,36
20/8/2017,29
27/8/2017,28
3/9/2017,27
10/9/2017,29
17/9/2017,29
24/9/2017,27
1/10/2017,23
8/10/2017,28
15/10/2017,29
22/10/2017,28
29/10/2017,29
5/11/2017,41
12/11/2017,40
19/11/2017,61
26/11/2017,48
3/12/2017,47
10/12/2017,41
17/12/2017,36
24/12/2017,33
31/12/2017,39
7/1/2018,40
14/1/2018,41
21/1/2018,42
28/1/2018,40
4/2/2018,44
11/2/2018,34
18/2/2018,31
25/2/2018,36
4/3/2018,38
11/3/2018,39
18/3/2018,60
25/3/2018,46
1/4/2018,39
8/4/2018,42
15/4/2018,43
22/4/2018,47
29/4/2018,44
6/5/2018,58
13/5/2018,73
20/5/2018,67
27/5/2018,71
3/6/2018,68
10/6/2018,62
17/6/2018,69
24/6/2018,62
1/7/2018,61
8/7/2018,68
15/7/2018,69
22/7/2018,86
29/7/2018,79
5/8/2018,74
12/8/2018,99
19/8/2018,79
26/8/2018,79
2/9/2018,81
9/9/2018,100
16/9/2018,83
23/9/2018,76
30/9/2018,76
7/10/2018,93
14/10/2018,85
21/10/2018,98
28/10/2018,92
4/11/2018,87
11/11/2018,95
18/11/2018,89
25/11/2018,84
